code;libelle;level;parentCode;isLeaf;pathCodes
BlockL1-JA4;Hémorragie obstétricale;L2;N18;FALSE;N18 | BlockL1-JA4
BlockL1-JA6;Certaines affections maternelles précisées liées principalement à la grossesse;L2;N18;FALSE;N18 | BlockL1-JA6
BlockL1-JA8;Soins maternels liés au fœtus, à la cavité amniotique ou à d'éventuels problèmes liés à l'accouchement;L2;N18;FALSE;N18 | BlockL1-JA8
BlockL1-JB0;Complications lors du travail ou de l'accouchement;L2;N18;FALSE;N18 | BlockL1-JB0
BlockL1-JB2;Accouchement;L2;N18;FALSE;N18 | BlockL1-JB2
BlockL1-JB4;Complications principalement liées à la puerpéralité;L2;N18;FALSE;N18 | BlockL1-JB4
BlockL1-JB6;Certains problèmes obstétricaux, non classées ailleurs;L2;N18;FALSE;N18 | BlockL1-JB6
BlockL1-KA0;Fœtus ou nouveau-né affecté par des facteurs maternels ou par des complications de la grossesse, du travail ou de l'accouchement;L2;N19;FALSE;N19 | BlockL1-KA0
BlockL1-KA2;Affections du nouveau-né liées à la durée de la gestation ou à la croissance du fœtus;L2;N19;FALSE;N19 | BlockL1-KA2
BlockL1-KA4;Traumatismes obstétricaux;L2;N19;FALSE;N19 | BlockL1-KA4
BlockL1-KA6;Infections du fœtus ou du nouveau-né;L2;N19;FALSE;N19 | BlockL1-KA6
BlockL1-KA8;Troubles hémorragiques ou hématologiques du fœtus ou du nouveau-né;L2;N19;FALSE;N19 | BlockL1-KA8
BlockL1-KB0;Troubles neurologiques spécifiques à la période périnatale ou néonatale;L2;N19;FALSE;N19 | BlockL1-KB0
BlockL1-KB2;Troubles respiratoires spécifiques à la période périnatale ou néonatale;L2;N19;FALSE;N19 | BlockL1-KB2
BlockL1-KB4;Troubles cardiovasculaires présents au cours de la période périnatale ou néonatale;L2;N19;FALSE;N19 | BlockL1-KB4
BlockL1-KB6;Troubles endocriniens ou métaboliques transitoires spécifiques au fœtus ou au nouveau-né;L2;N19;FALSE;N19 | BlockL1-KB6
